,state,candidate,overall_votes,vote_pct,count,sing_spons,prim_order
0,CA,Bernie Sanders,3442623,0.4363077223384611,397,black,9
5,CO,Bernie Sanders,121184,0.5935437021388962,2025,black,11
7,FL,Bernie Sanders,1664003,0.3405059966839002,545,black,4
13,IA,Bernie Sanders,139980,0.4961565937991141,11359,black,12
22,MA,Bernie Sanders,1198652,0.4894798490304108,549,black,2
28,NC,Bernie Sanders,1076699,0.4275252415020354,493,black,5
34,NH,Bernie Sanders,246836,0.614108152781604,4767,black,1
42,NV,Bernie Sanders,11937,0.4725642958867387,5877,black,13
48,NY,Bernie Sanders,1817552,0.4200534565173376,815,black,7
53,OH,Bernie Sanders,1192815,0.43053533029011204,1500,black,6
59,PA,Bernie Sanders,1638644,0.4393602271146143,943,black,8
64,SC,Bernie Sanders,367491,0.2611683007202897,1385,black,10
71,VA,Bernie Sanders,778865,0.3537288233519288,7,black,3
