,state,candidate,overall_votes,vote_pct,count,sing_spons,prim_order
2,CA,Hillary Clinton,3442623,0.563692278,508,seagreen,9
6,CO,Hillary Clinton,121184,0.406456298,1212,seagreen,11
9,FL,Hillary Clinton,1664003,0.659494003,376,seagreen,4
16,IA,Hillary Clinton,139980,0.498164023,10595,seagreen,12
24,MA,Hillary Clinton,1198652,0.503719178,632,seagreen,2
30,NC,Hillary Clinton,1076699,0.572474758,889,seagreen,5
37,NH,Hillary Clinton,246836,0.385891847,3303,seagreen,1
44,NV,Hillary Clinton,11937,0.527435704,4279,seagreen,13
50,NY,Hillary Clinton,1817552,0.579946543,666,seagreen,7
55,OH,Hillary Clinton,1192815,0.56946467,1665,seagreen,6
61,PA,Hillary Clinton,1638644,0.560639773,812,seagreen,8
66,SC,Hillary Clinton,367491,0.738831699,2004,seagreen,10
73,VA,Hillary Clinton,778865,0.646271177,356,seagreen,3
0,CA,Bernie Sanders,3442623,0.436307722,397,black,9
5,CO,Bernie Sanders,121184,0.593543702,2025,black,11
7,FL,Bernie Sanders,1664003,0.340505997,545,black,4
13,IA,Bernie Sanders,139980,0.496156594,11359,black,12
22,MA,Bernie Sanders,1198652,0.489479849,549,black,2
28,NC,Bernie Sanders,1076699,0.427525242,493,black,5
34,NH,Bernie Sanders,246836,0.614108153,4767,black,1
42,NV,Bernie Sanders,11937,0.472564296,5877,black,13
48,NY,Bernie Sanders,1817552,0.420053457,815,black,7
53,OH,Bernie Sanders,1192815,0.43053533,1500,black,6
59,PA,Bernie Sanders,1638644,0.439360227,943,black,8
64,SC,Bernie Sanders,367491,0.261168301,1385,black,10
71,VA,Bernie Sanders,778865,0.353728823,7,black,3
