,state,candidate,votes,vote_pct,count,sing_spons,prim_order
2,CA,Hillary Clinton,1940580,0.5636922776615388,508,seagreen,9
6,CO,Hillary Clinton,49256,0.40645629786110377,1212,seagreen,11
9,FL,Hillary Clinton,1097400,0.6594940033160998,376,seagreen,4
16,IA,Hillary Clinton,69733,0.4981640234319189,10595,seagreen,12
24,MA,Hillary Clinton,603784,0.5037191778764812,632,seagreen,2
30,NC,Hillary Clinton,616383,0.5724747584979646,889,seagreen,5
37,NH,Hillary Clinton,95252,0.385891847218396,3303,seagreen,1
44,NV,Hillary Clinton,6296,0.5274357041132612,4279,seagreen,13
50,NY,Hillary Clinton,1054083,0.5799465434826624,666,seagreen,7
55,OH,Hillary Clinton,679266,0.569464669709888,1665,seagreen,6
61,PA,Hillary Clinton,918689,0.5606397728853857,812,seagreen,8
66,SC,Hillary Clinton,271514,0.7388316992797103,2004,seagreen,10
73,VA,Hillary Clinton,503358,0.6462711766480712,356,seagreen,3
