,state,candidate,overall_votes,vote_pct,count,sing_spons,prim_order
2,CA,Hillary Clinton,3442623,0.5636922776615388,508,seagreen,9
6,CO,Hillary Clinton,121184,0.40645629786110377,1212,seagreen,11
9,FL,Hillary Clinton,1664003,0.6594940033160998,376,seagreen,4
16,IA,Hillary Clinton,139980,0.4981640234319189,10595,seagreen,12
24,MA,Hillary Clinton,1198652,0.5037191778764812,632,seagreen,2
30,NC,Hillary Clinton,1076699,0.5724747584979646,889,seagreen,5
37,NH,Hillary Clinton,246836,0.385891847218396,3303,seagreen,1
44,NV,Hillary Clinton,11937,0.5274357041132612,4279,seagreen,13
50,NY,Hillary Clinton,1817552,0.5799465434826624,666,seagreen,7
55,OH,Hillary Clinton,1192815,0.569464669709888,1665,seagreen,6
61,PA,Hillary Clinton,1638644,0.5606397728853857,812,seagreen,8
66,SC,Hillary Clinton,367491,0.7388316992797103,2004,seagreen,10
73,VA,Hillary Clinton,778865,0.6462711766480712,356,seagreen,3
