candidate,day_week,count
Ben Carson,6,1
Bernie Sanders,0,5032
Bernie Sanders,1,5114
Bernie Sanders,2,4624
Bernie Sanders,3,5128
Bernie Sanders,4,5600
Bernie Sanders,5,3077
Bernie Sanders,6,2500
"Bernie Sanders, Donald Trump, Hillary Clinton",2,16
"Bernie Sanders, Donald Trump, Hillary Clinton",3,2
Carly Fiorina,0,19
Carly Fiorina,1,38
Carly Fiorina,2,45
Carly Fiorina,3,37
Carly Fiorina,4,60
Carly Fiorina,5,32
Carly Fiorina,6,36
"Carly Fiorina, Hillary Clinton, Donald Trump, Ted Cruz",6,1
"Carly Fiorina, John Kasich, Hillary Clinton, Jeb Bush",0,1
"Carly Fiorina, John Kasich, Hillary Clinton, Jeb Bush",5,1
Chris Christie,0,237
Chris Christie,1,330
Chris Christie,2,321
Chris Christie,3,317
Chris Christie,4,251
Chris Christie,5,107
Chris Christie,6,129
"Chris Christie, Hillary Clinton",0,121
"Chris Christie, Hillary Clinton",1,79
"Chris Christie, Hillary Clinton",2,59
"Chris Christie, Hillary Clinton",3,63
"Chris Christie, Hillary Clinton",4,83
"Chris Christie, Hillary Clinton",5,54
"Chris Christie, Hillary Clinton",6,54
"Chris Christie, Jeb Bush, John Kasich",0,83
"Chris Christie, Jeb Bush, John Kasich",1,100
"Chris Christie, Jeb Bush, John Kasich",2,92
"Chris Christie, Jeb Bush, John Kasich",3,71
"Chris Christie, Jeb Bush, John Kasich",4,71
"Chris Christie, Jeb Bush, John Kasich",5,58
"Chris Christie, Jeb Bush, John Kasich",6,50
Donald Trump,0,1678
Donald Trump,1,1862
Donald Trump,2,1128
Donald Trump,3,1240
Donald Trump,4,1476
Donald Trump,5,915
Donald Trump,6,854
"Donald Trump, ",1,2
"Donald Trump, ",2,5
"Donald Trump, ",3,3
"Donald Trump, Ben Carson, Jeb Bush, Ted Cruz, Marco Rubio",0,28
"Donald Trump, Ben Carson, Jeb Bush, Ted Cruz, Marco Rubio",1,82
"Donald Trump, Ben Carson, Jeb Bush, Ted Cruz, Marco Rubio",2,48
"Donald Trump, Ben Carson, Jeb Bush, Ted Cruz, Marco Rubio",3,14
"Donald Trump, Ben Carson, Jeb Bush, Ted Cruz, Marco Rubio",4,5
"Donald Trump, Ben Carson, Jeb Bush, Ted Cruz, Marco Rubio",5,18
"Donald Trump, Ben Carson, Jeb Bush, Ted Cruz, Marco Rubio",6,29
"Donald Trump, Ben Carson, Marco Rubio, Ted Cruz",0,29
"Donald Trump, Ben Carson, Marco Rubio, Ted Cruz",1,108
"Donald Trump, Ben Carson, Marco Rubio, Ted Cruz",2,59
"Donald Trump, Ben Carson, Marco Rubio, Ted Cruz",3,23
"Donald Trump, Ben Carson, Marco Rubio, Ted Cruz",4,18
"Donald Trump, Ben Carson, Marco Rubio, Ted Cruz",5,12
"Donald Trump, Ben Carson, Marco Rubio, Ted Cruz",6,25
"Donald Trump, Hillary Clinton",0,36
"Donald Trump, Hillary Clinton",1,94
"Donald Trump, Hillary Clinton",2,155
"Donald Trump, Hillary Clinton",3,170
"Donald Trump, Hillary Clinton",4,104
"Donald Trump, Hillary Clinton",5,45
"Donald Trump, Hillary Clinton",6,19
"Donald Trump, Jeb Bush",0,183
"Donald Trump, Jeb Bush",1,215
"Donald Trump, Jeb Bush",2,189
"Donald Trump, Jeb Bush",3,99
"Donald Trump, Jeb Bush",4,61
"Donald Trump, Jeb Bush",5,61
"Donald Trump, Jeb Bush",6,90
"Donald Trump, John Kasich",0,22
"Donald Trump, John Kasich",1,74
"Donald Trump, Marco Rubio",0,95
"Donald Trump, Marco Rubio",1,22
"Donald Trump, Marco Rubio",4,154
"Donald Trump, Marco Rubio",5,61
"Donald Trump, Marco Rubio",6,39
"Donald Trump, Ted Cruz",0,263
"Donald Trump, Ted Cruz",1,222
"Donald Trump, Ted Cruz",2,225
"Donald Trump, Ted Cruz",3,222
"Donald Trump, Ted Cruz",4,273
"Donald Trump, Ted Cruz",5,174
"Donald Trump, Ted Cruz",6,193
"Donald Trump, Ted Cruz, Chris Christie, Jeb Bush, Hillary Clinton",0,213
"Donald Trump, Ted Cruz, Chris Christie, Jeb Bush, Hillary Clinton",1,275
"Donald Trump, Ted Cruz, Chris Christie, Jeb Bush, Hillary Clinton",2,203
"Donald Trump, Ted Cruz, Chris Christie, Jeb Bush, Hillary Clinton",3,116
"Donald Trump, Ted Cruz, Chris Christie, Jeb Bush, Hillary Clinton",4,82
"Donald Trump, Ted Cruz, Chris Christie, Jeb Bush, Hillary Clinton",5,74
"Donald Trump, Ted Cruz, Chris Christie, Jeb Bush, Hillary Clinton",6,125
"Donald Trump, Ted Cruz, Hillary Clinton",0,1
"Donald Trump, Ted Cruz, Hillary Clinton",1,2
"Donald Trump, Ted Cruz, Marco Rubio, Jeb Bush",0,121
"Donald Trump, Ted Cruz, Marco Rubio, Jeb Bush",1,147
"Donald Trump, Ted Cruz, Marco Rubio, Jeb Bush",2,159
"Donald Trump, Ted Cruz, Marco Rubio, Jeb Bush",3,150
"Donald Trump, Ted Cruz, Marco Rubio, Jeb Bush",4,144
"Donald Trump, Ted Cruz, Marco Rubio, Jeb Bush",5,71
"Donald Trump, Ted Cruz, Marco Rubio, Jeb Bush",6,70
Hillary Clinton,0,4595
Hillary Clinton,1,4568
Hillary Clinton,2,4161
Hillary Clinton,3,4721
Hillary Clinton,4,4843
Hillary Clinton,5,2604
Hillary Clinton,6,2183
"Hillary Clinton, Donald Trump",0,62
"Hillary Clinton, Donald Trump",1,90
"Hillary Clinton, Donald Trump",2,32
"Hillary Clinton, Donald Trump",3,48
"Hillary Clinton, Donald Trump",4,45
"Hillary Clinton, Donald Trump",5,24
