,state,party,candidate,votes,overall_votes,vote_pct,Unnamed: 0_x,Unnamed: 0.1_x,count,days_to_election_num_x,Unnamed: 0_y,Unnamed: 0.1_y,overall_count,days_to_election_num_y,ad_pct
0,CA,Democrat,Bernie Sanders,1502043,3442623,0.4363077223384611,23506392,30058020,397,43520,123053477,164711762,1612,185424,0.24627791563275434
1,CA,Democrat,Hillary Clinton,1940580,3442623,0.5636922776615388,37437385,50476755,432,46666,123053477,164711762,1612,185424,0.2679900744416873
2,CA,Republican,Donald Trump,1174829,1495574,0.7855371917404288,25344181,33914585,355,40547,203475309,262710414,3833,479192,0.0926167492825463
3,CA,Republican,John Kasich,176620,1495574,0.11809512601850528,8550822,11359195,127,13561,203475309,262710414,3833,479192,0.033133315940516564
4,CA,Republican,Ted Cruz,144125,1495574,0.09636768224106597,15282023,19244375,314,42114,203475309,262710414,3833,479192,0.08192016697104096
5,CO,Democrat,Bernie Sanders,71928,121184,0.5935437021388962,56286610,73184347,2025,19302,170718882,226152130,3238,27113,0.6253860407659049
6,CO,Democrat,Hillary Clinton,49256,121184,0.40645629786110377,114409524,152940883,1212,7763,170718882,226152130,3238,27113,0.3743051266213712
7,FL,Democrat,Bernie Sanders,566603,1664003,0.3405059966839002,6881213,8803181,545,1781,45365747,61028403,926,3237,0.5885529157667386
8,FL,Democrat,Hillary Clinton,1097400,1664003,0.6594940033160998,38303229,52001167,376,1148,45365747,61028403,926,3237,0.4060475161987041
9,FL,Republican,Donald Trump,1077221,2276926,0.47310321020533824,148872838,201550487,1575,15495,500233375,684187251,5329,39047,0.2955526365171702
10,FL,Republican,John Kasich,159412,2276926,0.07001193714683744,60043715,83508304,563,2378,500233375,684187251,5329,39047,0.10564833927566147
11,FL,Republican,Marco Rubio,636653,2276926,0.27961075590511064,153251103,208768703,1861,10901,500233375,684187251,5329,39047,0.3492212422593357
12,FL,Republican,Ted Cruz,403640,2276926,0.17727409674271363,310672,371656,8,478,500233375,684187251,5329,39047,0.0015012197410395947
13,IA,Democrat,Bernie Sanders,69452,139980,0.49615659379911414,429714418,525534831,11359,277416,1015013553,1272946145,22759,522258,0.4990992574366185
14,IA,Democrat,Hillary Clinton,69733,139980,0.49816402343191885,562682201,720105351,10595,228351,1015013553,1272946145,22759,522258,0.46553011995254623
15,IA,Republican,Carly Fiorina,3485,186724,0.018663910370386238,34241,40212,1,51,642594262,784914096,16280,328062,6.142506142506142e-05
16,IA,Republican,Donald Trump,45419,186724,0.24324136158179988,69540980,82566789,2670,48023,642594262,784914096,16280,328062,0.16400491400491402
17,IA,Republican,Jeb Bush,5238,186724,0.028052098284098454,30633449,36925243,620,18158,642594262,784914096,16280,328062,0.038083538083538086
18,IA,Republican,John Kasich,3472,186724,0.018594288896981642,19856871,23572797,624,6419,642594262,784914096,16280,328062,0.03832923832923833
19,IA,Republican,Marco Rubio,43164,186724,0.23116471369507938,124319891,152530718,3469,85333,642594262,784914096,16280,328062,0.21308353808353808
20,IA,Republican,Mike Huckabee,3345,186724,0.01791414065679827,30992925,40762815,410,9090,642594262,784914096,16280,328062,0.025184275184275184
21,IA,Republican,Ted Cruz,51663,186724,0.2766810908078233,159218659,196545950,3021,56521,642594262,784914096,16280,328062,0.18556511056511057
22,MA,Democrat,Bernie Sanders,586716,1198652,0.4894798490304108,30926534,38226859,549,4491,91382763,120552397,1181,8358,0.46486028789161726
23,MA,Democrat,Hillary Clinton,603784,1198652,0.5037191778764812,60456229,82325538,632,3867,91382763,120552397,1181,8358,0.5351397121083827
24,MA,Republican,Donald Trump,311313,614668,0.5064734132897759,7394654,9657854,92,1932,28210235,36434516,368,7311,0.25
25,MA,Republican,John Kasich,113783,614668,0.18511293901748585,534072,690153,7,142,28210235,36434516,368,7311,0.019021739130434784
26,MA,Republican,Marco Rubio,112822,614668,0.1835494933850469,5219286,6610815,65,1006,28210235,36434516,368,7311,0.1766304347826087
27,MA,Republican,Ted Cruz,60473,614668,0.09838319222734875,98372,116610,4,84,28210235,36434516,368,7311,0.010869565217391304
28,NC,Democrat,Bernie Sanders,460316,1076699,0.4275252415020354,15620046,19332233,493,15432,105933172,144151518,1383,36128,0.35647143890093996
29,NC,Democrat,Hillary Clinton,616383,1076699,0.5724747584979646,90289304,124791311,889,20666,105933172,144151518,1383,36128,0.6428054953000724
30,NC,Republican,Donald Trump,458151,1109048,0.41310294955673693,35314440,46232149,425,11784,63044638,83118280,712,18730,0.5969101123595506
31,NC,Republican,John Kasich,144299,1109048,0.13011068952831617,482375,619389,6,78,63044638,83118280,712,18730,0.008426966292134831
32,NC,Republican,Marco Rubio,87858,1109048,0.07921929438581558,1980840,2620526,23,462,63044638,83118280,712,18730,0.032303370786516857
33,NC,Republican,Ted Cruz,418740,1109048,0.3775670665291313,214049,293648,4,107,63044638,83118280,712,18730,0.0056179775280898875
34,NH,Democrat,Bernie Sanders,151584,246836,0.614108152781604,164676417,203821031,4767,162087,363219850,456834588,8411,294375,0.5667578171442159
35,NH,Democrat,Hillary Clinton,95252,246836,0.38589184721839603,189046743,241607436,3303,122208,363219850,456834588,8411,294375,0.39270003566757816
36,NH,Republican,Chris Christie,21069,279130,0.07548095869308208,61604175,74078623,1632,50180,394049943,487437234,9579,255473,0.17037269025994362
37,NH,Republican,Donald Trump,100406,279130,0.3597105291441264,42037341,53131777,921,16141,394049943,487437234,9579,255473,0.09614782336360789
38,NH,Republican,Jeb Bush,31310,279130,0.11216995665102282,52206762,66841787,767,16488,394049943,487437234,9579,255473,0.08007098862094164
39,NH,Republican,John Kasich,44909,279130,0.16088919141618602,51051056,61680561,1019,21882,394049943,487437234,9579,255473,0.10637853638166823
