state,party,candidate,votes,overall_votes,vote_pct
VT,Democrat,Bernie Sanders,115863,134198,0.8633735227052564
MS,Democrat,Hillary Clinton,182447,218795,0.8338718892113622
WV,Republican,Donald Trump,156245,188138,0.8304808172724277
MT,Republican,Donald Trump,114056,139154,0.8196386736996422
AK,Democrat,Bernie Sanders,440,539,0.8163265306122449
NJ,Republican,Donald Trump,356697,443724,0.8038713254185034
AL,Democrat,Hillary Clinton,309928,386327,0.802242659715733
UT,Democrat,Bernie Sanders,61333,76999,0.7965428122443149
WA,Republican,Donald Trump,403003,510851,0.7888856046087802
ID,Democrat,Bernie Sanders,18640,23705,0.7863319974688884
CA,Republican,Donald Trump,1174829,1495574,0.7855371917404288
NM,Republican,Donald Trump,73530,95225,0.7721711735363612
LA,Democrat,Hillary Clinton,221615,293855,0.7541644688707015
SC,Democrat,Hillary Clinton,271514,367491,0.7388316992797103
WA,Democrat,Bernie Sanders,19159,26299,0.7285067873303167
GA,Democrat,Hillary Clinton,543008,757340,0.7169936884358412
ND,Democrat,Bernie Sanders,253,354,0.7146892655367232
WY,Republican,Ted Cruz,644,903,0.7131782945736435
HI,Democrat,Bernie Sanders,23531,33658,0.6991205656901777
UT,Republican,Ted Cruz,122567,177204,0.691671745558791
AR,Democrat,Hillary Clinton,144580,209448,0.6902906688056224
KS,Democrat,Bernie Sanders,26450,39043,0.6774581871270138
NE,Republican,Donald Trump,121287,180231,0.6729530435940543
TN,Democrat,Hillary Clinton,245304,365637,0.6708949039621264
SD,Republican,Donald Trump,44866,66877,0.6708733944405401
OR,Republican,Donald Trump,240804,361490,0.6661429085175247
TX,Democrat,Hillary Clinton,935080,1410641,0.6628759549736609
FL,Democrat,Hillary Clinton,1097400,1664003,0.6594940033160998
MD,Democrat,Hillary Clinton,533247,814522,0.6546747663046547
RI,Republican,Donald Trump,39059,60381,0.6468756728109836
VA,Democrat,Hillary Clinton,503358,778865,0.6462711766480712
ME,Democrat,Bernie Sanders,2201,3415,0.6445095168374817
NJ,Democrat,Hillary Clinton,554237,877496,0.6316119959521183
DE,Republican,Donald Trump,42472,67807,0.6263660094090581
NH,Democrat,Bernie Sanders,151584,246836,0.614108152781604
DE,Democrat,Hillary Clinton,55950,92609,0.6041529440983058
NY,Republican,Donald Trump,524932,868987,0.6040734786596347
CO,Democrat,Bernie Sanders,71928,121184,0.5935437021388962
CT,Republican,Donald Trump,123367,208817,0.5907900218851914
AZ,Democrat,Hillary Clinton,235697,399097,0.5905757246985068
WV,Democrat,Bernie Sanders,123860,210214,0.5892090916875184
PA,Republican,Donald Trump,892702,1537696,0.5805451792812103
NY,Democrat,Hillary Clinton,1054083,1817552,0.5799465434826624
AZ,Republican,Donald Trump,249916,435103,0.5743835367717529
NC,Democrat,Hillary Clinton,616383,1076699,0.5724747584979646
NE,Democrat,Bernie Sanders,19120,33460,0.5714285714285714
OH,Democrat,Hillary Clinton,679266,1192815,0.569464669709888
WI,Democrat,Bernie Sanders,567936,1000703,0.5675370214739038
MD,Republican,Donald Trump,236623,418750,0.5650698507462687
CA,Democrat,Hillary Clinton,1940580,3442623,0.5636922776615388
PA,Democrat,Hillary Clinton,918689,1638644,0.5606397728853857
OR,Democrat,Bernie Sanders,320746,572485,0.560269701389556
RI,Democrat,Bernie Sanders,66720,119213,0.5596705057334351
WY,Democrat,Bernie Sanders,156,280,0.5571428571428572
OK,Democrat,Bernie Sanders,174054,313392,0.5553875019145351
IN,Republican,Donald Trump,590460,1080653,0.5463918575157798
MT,Democrat,Bernie Sanders,63168,118362,0.5336847974856795
NV,Democrat,Hillary Clinton,6296,11937,0.5274357041132612
CT,Democrat,Hillary Clinton,170075,322485,0.5273888708001923
IN,Democrat,Bernie Sanders,335256,638638,0.5249546691552961
NM,Democrat,Hillary Clinton,110451,214307,0.5153868049107122
SD,Democrat,Hillary Clinton,27046,53004,0.5102633763489548
IL,Democrat,Hillary Clinton,1012175,1987834,0.5091848715737833
MI,Democrat,Bernie Sanders,595222,1172017,0.5078612340947273
MA,Republican,Donald Trump,311313,614668,0.5064734132897759
MA,Democrat,Hillary Clinton,603784,1198652,0.5037191778764812
KY,Democrat,Hillary Clinton,212550,423176,0.5022732858196117
MO,Democrat,Hillary Clinton,310602,619673,0.5012353289557557
MO,Democrat,Bernie Sanders,309071,619673,0.4987646710442443
IA,Democrat,Hillary Clinton,69733,139980,0.49816402343191885
KY,Democrat,Bernie Sanders,210626,423176,0.4977267141803883
IA,Democrat,Bernie Sanders,69452,139980,0.49615659379911414
WI,Republican,Ted Cruz,531129,1072699,0.49513330393707833
MI,Democrat,Hillary Clinton,576795,1172017,0.4921387659052727
IL,Democrat,Bernie Sanders,975659,1987834,0.49081512842621666
SD,Democrat,Bernie Sanders,25958,53004,0.4897366236510452
MA,Democrat,Bernie Sanders,586716,1198652,0.4894798490304108
KS,Republican,Ted Cruz,35207,72253,0.4872738848213915
MS,Republican,Donald Trump,191755,395405,0.4849584603128438
NM,Democrat,Bernie Sanders,103856,214307,0.4846131950892878
OH,Republican,John Kasich,956762,2011357,0.4756798519606415
IN,Democrat,Hillary Clinton,303382,638638,0.4750453308447039
FL,Republican,Donald Trump,1077221,2276926,0.47310321020533824
CT,Democrat,Bernie Sanders,152410,322485,0.47261112919980774
NV,Democrat,Bernie Sanders,5641,11937,0.4725642958867387
ID,Republican,Ted Cruz,100942,215284,0.46887831887181586
MT,Democrat,Hillary Clinton,55194,118362,0.46631520251432046
